Date,Open,High,Low,Close,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,CLF,CNYUSDX,DJI,EURUSDX,GCF,GSPC,IXIC,JPYUSDX,TSLA,VIX,XWDTO,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8,SMA_05,SMA_90,EMA_05,EMA_90,MACD,Avg_Dir_Mvmt,RSI,Awesome_Osc,ROC,Stoch_RSI,Ultimate_Osc,True_SI,Cum_Return,Log_Return,Number_of_Transactions,Active_Addresses,New_Addresses,Hash_Rate,sentiment_elon,sentiment_bitcoin
2020-08-28,11392.104340925,11571.161723828334,11357.214134023334,11556.452366655,11489.346998511182,9640.09052463,11537.859304485932,11119.260992681911,51.974830204802586,85.2037335127891,0.0032170171595831,6.512966133046034,391.7126263610909,57.30748410693396,0.004136164919464,0.099727531947077,91.84308246281876,0.2689656132351468,75.50465656358593,42.9700012207,0.1451547295,28653.869140625,1.1819632053,1964.5999755859,3508.0100097656,11695.6298828125,0.0093776081,442.6799926758,22.9599990845,57.7452278137,36.5661664657,2163.9386503067,-0.1679852142857142,11485.460523663662,10145.453892026206,11484.461199731573,10340.743705855579,166.7762693593486,23.729934394134524,53.58053280117365,98.14949067457565,-3.353389851513523,0.15805034016900874,60.62571074505903,13.121443932193733,1286.5860313728786,1.4375165903880216,352722.0,1089313.0,525655.0,145171092.5,neutral,positive
2020-08-29,11536.205586688,11582.580000002,11430.028,11482.143408011998,11475.141732793803,4228.372220009667,11557.430948814212,11136.62102878493,52.16188628307602,85.25192622119303,0.0032130396851822,6.5425520589523884,400.4697090671804,57.36721705908676,0.0047048081104454,0.125882304808748,94.09639171174386,0.272305113319197,78.24210639088128,42.9700012207,0.1451547295,28653.869140625,1.1819632053,1964.5999755859,3508.0100097656,11695.6298828125,0.0093776081,442.6799926758,22.9599990845,57.7452278137,36.5661664657,2163.9386503067,-0.1679852142857142,11437.398834208394,10167.06422890771,11481.354710752317,10365.675530623452,146.54416933941502,22.588525326020072,51.868549510657346,10.957342385760057,-2.521212042903059,0.07819418580212423,56.13541803796418,11.737248461989072,1277.6701668159014,-0.6450845967963303,292783.0,985094.0,446856.0,127782403.7,neutral,positive
2020-08-30,11523.825753006668,11715.070570405,11517.776848361667,11712.642237071668,11636.550055399668,4372.62522617,11574.442548816512,11161.007810571014,52.41228153375912,87.40934212714126,0.0032582340155119,6.556497763214389,416.6178160894477,60.3273664522085,0.0045382545216058,0.13975496616535,94.95611030007016,0.2798590288323621,80.42194291537542,42.9700012207,0.1451547295,28653.869140625,1.1819632053,1964.5999755859,3508.0100097656,11695.6298828125,0.0093776081,442.6799926758,22.9599990845,57.7452278137,36.5661664657,2163.9386503067,-0.1679852142857142,11472.240131760824,10187.533614038992,11533.086492301434,10393.60683886029,147.41016088024662,20.994433765323006,56.510390250671556,7.072227582941196,-1.3844182358353923,0.2947147282247532,59.200313211621825,11.84106371569939,1305.3262715166952,1.9875710052442486,269114.0,839662.0,406481.0,110406297.1,neutral,positive
2020-08-31,11714.324999006669,11767.5,11584.317272641669,11664.233333333332,11687.9504750051,8035.884669819999,11582.248407806295,11186.712330787312,52.706018333232336,87.40529876020214,0.0032726261330014,6.641560977916899,431.7457608968987,61.93070942290002,0.004675180190002,0.1372165385765598,94.80201821830912,0.2813289679333727,79.25412209893358,42.6100006104,0.145679161,28430.05078125,1.1918240786,1967.5999755859,3500.3100585938,11775.4599609375,0.0094755292,498.3200073242,26.4099998474,57.2268867493,39.651751655,2019.4666666667,-0.1655494821428571,11529.614630588312,10209.022578194737,11584.707819869323,10422.053951742595,142.5470774772093,19.733253149544474,55.30407823965833,31.090817303213043,1.9524671969966982,0.33849396745502186,56.65286098109574,11.592572524871374,1299.5179916408285,-0.41416118923862655,302920.0,931549.0,476089.0,130555276.5,positive,positive
2020-09-01,11657.303333333335,12101.09408221,11549.617177143336,11892.545483098334,11893.914005125998,13712.030745409998,11604.07873875904,11221.20997343798,53.149312751375525,88.89868144851324,0.003211356781384,6.689731932183118,467.5052763031239,62.70257373050334,0.0044007481818966,0.1572375431477657,95.73221080101834,0.2909251365653819,81.7534126099338,42.7599983215,0.1460344344,28645.66015625,1.1939015388,1968.1999511719,3526.6499023438,11939.669921875,0.0094336066,475.049987793,26.1200008392,57.5957069397,34.3783453527,2444.8571428571,-0.1647375714285714,11636.580653367151,10235.22562844174,11687.776548288217,10454.402524344427,155.3254363024971,19.76376660378573,59.67610016991397,92.79347303792929,1.9069005471316463,0.775089628470864,61.26533300578467,12.644862612224081,1326.9117304468925,1.9384594197813243,376508.0,1089210.0,572253.0,137021363.3,neutral,positive
2020-09-02,11888.215732091669,12004.419686249998,11184.899869546667,11428.018216166667,11479.407982507968,21798.87639265,11615.440477605604,11233.80499827066,53.383583866256366,83.93215064042631,0.0030994401552771,6.247667794479962,447.87794158169487,59.24384706876573,0.0041325868737028,0.1502654504910293,91.4872082100341,0.2817046718907455,77.10144371451476,41.5099983215,0.1464664936,29100.5,1.1923214197,1934.4000244141,3580.8400878906,12056.4404296875,0.0094432272,447.3699951172,26.5699996948,58.2336654663,37.5355547833,2204.5069444444,-0.1639256607142856,11634.592850166508,10254.973994362583,11618.3203596948,10476.930116831538,126.51057435850271,18.371650511936,49.143264519290696,97.13301036796838,-2.047909385361802,0.0,54.10255136866304,10.257183937333595,1271.176025484548,-3.9843695474960583,317449.0,1034209.0,511785.0,125863977.2,neutral,positive
2020-09-03,11407.273050334998,11537.579687163334,10000.56,10150.13125,10729.943416201531,32248.581005230008,11604.963989609823,11209.22638451119,53.31043834912046,74.2345770278195,0.0028970847223744,5.720562032913685,404.49053974017903,52.67973019618305,0.0036481807615085,0.1505411061293075,83.68121921144333,0.259020834067105,64.71228874311144,41.3699989319,0.146256566,28292.73046875,1.1847358942,1927.5999755859,3455.0600585938,11458.099609375,0.0094154868,407.0,33.5999984741,56.8580665588,33.4081194812,2410.2480620155,-0.1631137499999999,11485.553186848054,10266.077256459861,11322.19471186371,10482.490848685824,0.5534108693318558,19.735445344072833,32.26972863835057,-40.76164728043477,-13.727624594746757,0.0,39.33409819096166,0.4497344848219208,1117.8504061039146,-11.858144192286524,310922.0,985739.0,492728.0,115068172.9,neutral,positive
2020-09-04,10369.655116666669,10758.964958333334,9941.545273193336,10560.108121296666,10352.838781028331,26793.09844828,11568.54200773594,11167.451379463244,53.14388835707763,69.63826653219927,0.0026917380830673,5.11192120490836,386.17444875116,49.238722412897616,0.0035199651855496,0.136657471909574,80.84656038170398,0.2506422268886959,58.37468852360388,39.7700004578,0.1460749656,28133.310546875,1.1839784384,1923.9000244141,3426.9599609375,11313.1298828125,0.0094263144,418.3200073242,30.75,56.3696289062,34.6653937767,2209.5259259259,-0.1649360535714285,11228.810931973787,10274.061724708812,10999.076068251918,10479.64135269335,-65.43257547452413,21.089462928966288,39.45246850457448,-263.7274607104846,-7.546881497356596,0.2620828466092889,44.04830368735971,-4.121024568839845,1167.0409522066416,3.959688054617949,298286.0,1013330.0,479081.0,118094086.4,positive,positive
2020-09-05,10471.472120493334,10760.198333331666,9884.883333340002,10137.171666666669,10240.222809410869,21227.04357964,11522.960648544158,11122.22071750947,52.82521554225299,68.68578248298293,0.0027648601585409,4.9531957729120375,342.9097331184776,48.347163950071526,0.0033792735271055,0.1192985957296366,78.65064570104875,0.2433076939516022,55.71142018345936,39.7700004578,0.1460749656,28133.310546875,1.1839784384,1923.9000244141,3426.9599609375,11313.1298828125,0.0094263144,418.3200073242,30.75,56.3696289062,34.6653937767,2209.5259259259,-0.1649360535714285,10939.26539885494,10281.1712239716,10746.124981971569,10474.379406687141,-150.1238480451848,22.43383609136949,35.29421213815537,-507.0027012830251,-11.44584750925098,0.11035694733691986,41.3839192971492,-9.357922721709055,1116.295467213303,-4.08744860661816,325523.0,987399.0,478130.0,123720214.9,positive,positive
2020-09-06,10137.543231696667,10564.692439583332,10015.396924183333,10311.295243563332,10254.138805602766,8797.55309091,11483.259212612697,11079.87525839207,52.50013000397689,69.3186961155911,0.0026660760894567,5.127992275293888,345.10150338174026,48.21455049839198,0.0032813244177928,0.1184353032047119,79.67147973650376,0.2386138100063764,57.896303275866,39.7700004578,0.1460749656,28133.310546875,1.1839784384,1923.9000244141,3426.9599609375,11313.1298828125,0.0094263144,418.3200073242,30.75,56.3696289062,34.6653937767,2209.5259259259,-0.1649360535714285,10611.310358950292,10287.041086366356,10582.129589848635,10469.538953916057,-200.8763962265093,23.68218259931532,38.182977736072274,-790.8155655539504,-9.482668159905266,0.2157618381153275,40.95040478419743,-12.174567236267299,1137.1874599977182,1.7030889050984044,262820.0,1002063.0,406032.0,133951335.5,negative,positive
2020-09-07,10285.88111589,10580.56,9903.701690833332,10379.198914876666,10154.592302199668,14450.54372869,11438.589575193437,11034.739504431464,52.18077354120325,74.50861019592891,0.0027417399215939,5.040942710657959,343.44496519176835,47.497902401692905,0.0031479236136818,0.1276432252386498,79.97665505881739,0.2374143680254282,59.3588723943542,36.7599983215,0.1461667866,27500.890625,1.1834459305,1933.0,3331.8400878906,10847.6904296875,0.0094063645,330.2099914551,31.4599990845,55.8313522339,36.7699179562,1872.3542857143,-0.1704029642857142,10346.347222888633,10291.68101184512,10439.617160632313,10462.61704948273,-232.93378189085342,25.027981702465564,39.32068415528265,-1037.349001564864,-10.186979658006308,0.257274316989085,43.52838607111077,-13.896821234726858,1145.3347944161665,0.6563778959113975,327662.0,1099514.0,486951.0,151623204.3,negative,positive
2020-09-08,10325.081434661666,10500.066235953333,9873.733333333334,10167.13348103,10106.939614404,17677.14151762,11388.896844994684,10989.480973210611,51.8704123225769,73.53283702580401,0.002627804299745,5.032851650388616,339.8962781630104,47.68423789256964,0.0032342206766092,0.1250228430301775,81.97091877107763,0.2364013175809095,60.19844838433239,36.7599983215,0.1464235932,27500.890625,1.1821727753,1933.0,3331.8400878906,10847.6904296875,0.0094068954,330.2099914551,31.4599990845,55.8313522339,32.0925633536,2146.2451612903,-0.1722252678571428,10221.746462529127,10294.702522276728,10328.724645222876,10454.799962997482,-272.3123519131841,26.328590491191136,37.028648837343944,-1121.3284815159132,-11.452652002799514,0.1736428404436032,42.91654327879593,-16.04629381643027,1119.8903968640889,-2.064338887074335,332668.0,990830.0,507015.0,134004648.2,neutral,positive
