"DateTime","Price"
"2020-10-12 00:00:00",11419.51
"2020-10-19 00:00:00",12577.56
"2020-10-26 00:00:00",13437.01
"2020-11-02 00:00:00",14559.16
"2020-11-09 00:00:00",15770.33
"2020-11-16 00:00:00",17766.92
"2020-11-23 00:00:00",18008.4
"2020-11-30 00:00:00",19034.35
"2020-12-07 00:00:00",18546.49
"2020-12-14 00:00:00",21611.11
"2020-12-21 00:00:00",24224.25
"2020-12-28 00:00:00",29136.61
"2021-01-04 00:00:00",36369.55
"2021-01-11 00:00:00",35923.17
"2021-01-18 00:00:00",33803.78
"2021-01-25 00:00:00",32943.28
"2021-02-01 00:00:00",36851.1
"2021-02-08 00:00:00",46292.85
"2021-02-15 00:00:00",52158.52
"2021-02-22 00:00:00",48417.1
"2021-03-01 00:00:00",48908.08
"2021-03-08 00:00:00",55939.13
"2021-03-15 00:00:00",57401.9
"2021-03-22 00:00:00",54412.72
"2021-03-29 00:00:00",58155.27
"2021-04-05 00:00:00",58314.76
"2021-04-12 00:00:00",61088.15
"2021-04-19 00:00:00",52577.46
"2021-04-26 00:00:00",55050.31
"2021-05-03 00:00:00",56899.07
"2021-05-10 00:00:00",51596.39
"2021-05-17 00:00:00",39095.7
"2021-05-24 00:00:00",37254.63
"2021-05-31 00:00:00",37026.21
